Country,M49code,ISOcode,OverallFairLabor,In law,In Practice,Latitude,Longitude,ExtremePoor,ModeratePoor,NearPoor
Japan,392,JPN,1.48,2.07,0.27,36,138,,,
Jordan,400,JOR,3.86,4.34,1.77,31,36,0.08,1.09,9.51
Kazakhstan,398,KAZ,3.71,3.77,2.11,48,68,0.09,0.04,1.72
Kenya,404,KEN,3.98,4.84,1.47,1,38,26.43,29.32,24.56
Kiribati,296,KIR,1.25,1.74,0.24,1.4167,173,,,
Kuwait,414,KWT,3.99,4.60,1.72,29.3375,47.6581,,,
Kyrgyzstan,417,KGZ,1.64,1.42,1.18,41,75,0.3,8.08,43.27
Lao People's Democratic Republic,418,LAO,4.33,5.33,1.52,18,105,9.27,24.43,32.71
Latvia,428,LVA,1.26,1.39,0.60,57,25,,,
Lebanon,422,LBN,4.04,5.19,1.21,33.8333,35.8333,0.1,0.48,2.98
Lesotho,426,LSO,1.99,2.59,0.57,-29.5,28.5,19.71,22.35,27.07
Liberia,430,LBR,1.69,1.19,1.49,6.5,-9.5,50.84,27.72,15.64
Libya,434,LBY,3.35,4.39,0.91,25,17,,,
Lithuania,440,LTU,1.37,1.60,0.57,56,24,,,
Luxembourg,442,LUX,0.19,0.30,0.00,49.75,6.1667,,,
Madagascar,450,MDG,3.42,3.40,2.02,-20,47,76.09,14.52,6.87
Malawi,454,MWI,1.11,1.48,0.27,-13.5,34,64.97,22.48,8.85
Malaysia,458,MYS,6.31,6.99,3.01,2.5,112.5,0.09,0.04,0.8
Maldives,462,MDV,3.52,4.03,1.54,3.25,73,0.09,0.19,1.77
Mali,466,MLI,3.93,5.06,1.16,17,-4,45.24,31.9,17.06
Malta,470,MLT,1.44,1.73,0.56,35.8333,14.5833,,,
Marshall Islands,584,MHL,0.67,0.82,0.24,9,168,,,
Mauritania,478,MRT,4.38,5.20,1.75,20,-12,3.36,14.45,31.81
Mauritius,480,MUS,3.80,2.53,3.48,-20.2833,57.55,0.07,1.28,8.35
Mexico,484,MEX,4.13,3.34,3.21,23,-102,0.65,4.61,18.28
Mongolia,496,MNG,1.45,0.55,1.75,46,105,0.12,1.4,16.86
Montenegro**,499,MNE,1.77,1.38,1.42,42,19,0.73,1.49,5.57
Morocco,504,MAR,4.43,4.35,2.66,32,-5,0.15,5.03,19.41
Mozambique,508,MOZ,2.74,3.50,0.83,-18.25,35,60.69,19.67,9.97
Myanmar,104,MMR,4.18,4.27,2.35,22,98,1.3,11.4,36.44
Namibia,516,NAM,2.17,2.59,0.85,-22,17,12.45,10.25,16.48
Nepal,524,NPL,4.15,5.45,1.12,28,84,3.37,23.42,37.05
Netherlands,528,NLD,0.91,0.60,0.85,52.5,5.75,,,
New Zealand,554,NZL,2.73,3.45,0.87,-41,174,,,
Nicaragua,558,NIC,2.21,0.85,2.65,13,-85,2.47,7.82,20.37
Niger,562,NER,2.63,2.31,1.85,16,8,38.6,33.81,19.15
Nigeria,566,NGA,6.32,6.61,3.39,10,8,34.89,31.04,22.58
North Macedonia,807,MKD,1.60,1.09,1.44,41.8333,22,1.02,1.37,7.31
Norway,578,NOR,0.17,0.27,0.00,62,10,,,
Oman,512,OMN,3.65,5.17,0.61,21,57,,,
Pakistan,586,PAK,7.78,8.17,4.16,30,70,3.68,29.52,41.37
Palau,585,PLW,0.36,0.58,0.00,7.5,134.5,,,
Panama,591,PAN,4.34,4.82,2.06,9,-80,0.57,1.86,5.2
Papua New Guinea,598,PNG,2.00,2.57,0.60,-6,147,24.03,23.98,26.18
Paraguay,600,PRY,4.51,3.91,3.24,-23,-58,0.3,1.48,7.96
Peru,604,PER,6.77,4.53,6.20,-10,-76,2.86,6.57,13.51
Philippines,608,PHL,7.34,4.90,6.72,13,122,2.75,18.39,32.27
Poland,616,POL,2.58,2.32,1.77,52,20,,,
Portugal,620,PRT,1.69,1.36,1.31,39.5,-8,,,
Qatar,634,QAT,5.39,6.68,1.86,25.5,51.25,,,
Republic of Korea,410,KOR,7.34,5.93,5.70,37.6,127.5,0,0.02,0.27
Republic of Moldova,498,MDA,2.15,1.97,1.45,47,29,0.09,0.35,4.88
Romania,642,ROU,3.72,3.88,2.01,46,25,,,
Russian Federation,643,RUS,4.11,4.43,2.08,60,100,0.01,0.12,1.19
Rwanda,646,RWA,3.81,4.30,1.73,-2,30,46.51,27.24,15.68
Saint Kitts and Nevis,659,KNA,1.23,1.65,0.30,17.3333,-62.75,,,
Saint Lucia,662,LCA,0.39,0.61,0.00,13.8833,-61.1333,,,
Saint Vincent and the Grenadines,670,VCT,0.85,1.35,0.00,13.25,-61.2,,,
Samoa,882,WSM,1.34,2.13,0.00,-13.5833,-172.3333,,,
San Marino,674,SMR,0.00,0.00,0.00,43.7667,12.4167,,,
Sao Tome and Principe,678,STP,1.34,1.89,0.24,1,7,,,
Saudi Arabia,682,SAU,3.84,4.50,1.59,25,45,,,
Senegal,686,SEN,4.70,5.10,2.35,14,-14,30.09,26.48,23.27
Serbia*,688,SRB,2.34,3.11,0.61,44,21,0.1,0.17,2.37
Seychelles,690,SYC,1.78,2.58,0.24,-4.5833,55.6667,,,
Sierra Leone,694,SLE,2.29,3.63,0.00,8.5,-11.5,43.38,32.23,15.94
Singapore,702,SGP,3.07,4.87,0.00,1.3667,103.8,,,
Slovakia,703,SVK,0.18,0.00,0.29,48.6667,19.5,,,
Slovenia,705,SVN,0.36,0.58,0.00,46,15,,,
Solomon Islands,090,SLB,2.93,4.34,0.29,-8,159,23.45,33.2,27.08
Somalia,706,SOM,1.56,0.00,2.47,10,49,,,
South Africa,710,ZAF,2.47,1.45,2.46,-29,24,7.71,12.4,17.69
South Sudan,728,SSD,2.69,3.97,0.29,8,30,,,
Spain,724,ESP,3.27,1.10,4.09,40,-4,,,
Sri Lanka,144,LKA,4.23,4.02,2.68,7,81,0.21,7.15,26.93
Sudan,729,SDN,5.07,6.50,1.53,15,30,12.03,31.1,33.51
Suriname,740,SUR,0.55,0.00,0.87,4,-56,16.87,12.56,14.74
Sweden,752,SWE,0.54,0.55,0.30,62,15,,,
Switzerland,756,CHE,1.27,1.70,0.30,47,8,,,
Syrian Arab Republic,760,SYR,3.35,4.06,1.24,35,38,38.61,28.54,18.63
Tajikistan,762,TJK,0.91,0.84,0.60,39,71,1.37,6.11,23.27
Thailand,764,THA,6.53,6.69,3.65,15,100,0.1,0.16,5.36
Timor-Leste,626,TLS,0.70,0.81,0.30,-8.55,125.5167,22.58,43.05,26.73
Togo,768,TGO,0.73,1.15,0.00,8,1.1667,34.51,25.06,22.78
Tonga,776,TON,,,,-20,-175,,,
Trinidad and Tobago,780,TTO,3.08,4.61,0.27,11,-61,0.09,0.42,2.71
Tunisia,788,TUN,3.13,3.18,1.77,34,9,0.09,1.05,9.69
Turkey,792,TUR,5.39,5.59,2.94,39,35,0.09,0.23,6.49
Turkmenistan,795,TKM,2.26,2.62,0.96,40,60,0.52,2.59,17.32
Tuvalu,798,TUV,1.78,2.58,0.24,-8,178,,,
Uganda,800,UGA,2.92,3.20,1.43,1,32,34.01,30.05,20.13
Ukraine,804,UKR,3.71,2.36,3.52,49,32,0.09,0.08,0.34
United Arab Emirates,784,ARE,5.61,7.32,1.56,24,54,,,
United Kingdom,826,GBR,1.82,2.32,0.57,54,-2,,,
United Republic of Tanzania,834,TZA,4.59,5.42,1.85,-6,35,48.45,27.33,15.33
United States of America,840,USA,3.09,4.58,0.31,38,-97,,,
Uruguay,858,URY,1.48,0.82,1.53,-33,-56,0.03,0.17,0.99
Uzbekistan,860,UZB,3.10,3.13,1.79,41,64,,,
Vanuatu,548,VUT,2.70,4.28,0.00,-16,167,,,
Venezuela,862,VEN,6.05,3.68,5.91,8,-66,26.84,23.42,26.64
Viet Nam,704,VNM,4.46,5.79,1.26,16,106,1.23,4.64,11.93
Yemen,887,YEM,2.01,2.60,0.59,15,48,52.58,24.1,12.12
Zambia,894,ZMB,4.20,6.06,0.60,-15,30,55.86,16.83,13.56
Zimbabwe,716,ZWE,7.13,6.56,4.73,-20,30,38.63,24.32,19.48
